"SKU","ean","image01","Product Title DK","Product Colour DK","Danish Short Description","Danish Long description HTML","Categories DK","Product Title SE","Product Colour SE","Swedish Short Description","Swedish Long description HTML","Categories SE","Brand","SPEC. PRICES DKK PRIS30","Price Per Unit DKK EX VAT","Price Per Unit DKK INCL 25% VAT","Sales Unit Per Retail box","Product Height CM","Product  Width CM","Product Depth CM","Product Net weight KG","Sales box Gross weight KG","Sales box Height MM","Sales box Width MM","Sales box Depth MM","ENERGY STAR Rating","ENERGY STAR LABEL EU","ENERGY STAR LABEL UK","IP class index","Light source","Dimmable","CRI Ra index","Lumen","Kelvin","Product SOCKET","Product VOLT","Product WATT","HS Code","Country of origin","Categories","image02","image03","image04","image05","image06","image07","image08","image09","iamge10","image11","image12","image13","image14","image15","image16","image17","image18","image19"
"401-312","7318304013125","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2f/c0/5f/62/625fc02ff35177c342ddda4e/401-312.I.1.0.jpg","Heimdal væglampe E27 grå","Grå","Heimdal væglampe E27 grå, opal hvidt glas.","Heimdal væglampe E27 grå, opal hvidt glas.","Udendørslamper","Heimdal vägglykta E27 grå","Grå","Heimdal vägglykta E27 grå, opalvitt glas.","Heimdal vägglykta E27 grå, opalvitt glas.","Utebelysning","Konstsmide",832,1484.80,1856.00,1,27.00,30.00,29.00,2.80,3.55,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6e/e1/62/62/6262e16e1e1074154554a48f/401-312.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2f/c0/5f/62/625fc02ff35177c342ddda4e/401-312.I.1.0.jpg",,,,,,,,,,,,,,,,
"401-752","7318304017529","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2d/c0/5f/62/625fc02db4ad8cbf7caff978/401-752.I.1.0.jpg","Heimdal væglampe E27 sort","Sort","Heimdal væglampe E27 sort, opal hvidt glas.","Heimdal væglampe E27 sort, opal hvidt glas.","Udendørslamper","Heimdal vägglykta E27 svart","Svart","Heimdal vägglykta E27 svart, opalvitt glas.","Heimdal vägglykta E27 svart, opalvitt glas.","Utebelysning","Konstsmide",832,1484.80,1856.00,1,27.00,30.00,29.00,2.80,3.55,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/2d/c0/5f/62/625fc02db4ad8cbf7caff978/401-752.I.1.0.jpg",,,,,,,,,,,,,,,,,
"404-750","7318304047502","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e9b97dfdd099d0315/404-750.I.1.0.jpg","Heimdal væglampe E27 sort","Sort","Heimdal væglampe E27 sort, klart glas.","Heimdal væglampe E27 sort, klart glas.","Udendørslamper","Heimdal vägglykta E27 svart","Svart","Heimdal vägglykta E27 svart, klart glas.","Heimdal vägglykta E27 svart, klart glas.","Utebelysning","Konstsmide",651,1162.40,1453.00,1,26.00,25.00,24.00,2.65,3.10,260.00,300.00,260.00,"-",,,"IP44","Excl","LightSource","-","-","-","E27","230-240V","Max 60W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/76/e1/62/62/6262e176f710ffb0c31a94dc/404-750.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e9b97dfdd099d0315/404-750.I.1.0.jpg",,,,,,,,,,,,,,,,
"405-250","7318304052506","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e90bbc66c5ab49816/405-250.I.1.0.jpg","Nova bedlampe GU10 hvid","Hvid","Nova bedlampe GU10 hvid inkl. stolpe","Nova bedlampe GU10 hvid inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 vit","Vit","Nova trädgårdslykta GU10 vit ink stolp","Nova trädgårdslykta GU10 vit ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5e/c3/5f/62/625fc35e90bbc66c5ab49816/405-250.I.1.0.jpg",,,,,,,,,,,,,,,,,
"405-310","7318304053107","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5f/c3/5f/62/625fc35f9b97dfdd099d0316/405-310.I.1.0.jpg","Nova bedlampe GU10 grå","Grå","Nova bedlampe GU10 grå inkl. stolpe","Nova bedlampe GU10 grå inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 grå","Grå","Nova trädgårdslykta GU10 grå ink stolp","Nova trädgårdslykta GU10 grå ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/5f/c3/5f/62/625fc35f9b97dfdd099d0316/405-310.I.1.0.jpg",,,,,,,,,,,,,,,,,
"405-750","7318304057501","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/60/c3/5f/62/625fc360b4ad8cbf7caff9ff/405-750.I.1.0.jpg","Nova bedlampe GU10 sort","Sort","Nova bedlampe GU10 sort inkl. stolpe","Nova bedlampe GU10 sort inkl. stolpe","Udendørslamper","Nova trädgårdslykta GU10 svart","Svart","Nova trädgårdslykta GU10 svart ink stolp","Nova trädgårdslykta GU10 svart ink stolp","Utebelysning","Konstsmide",1331,2376.00,2970.00,1,118.00,34.00,34.00,4.15,5.35,180.00,800.00,355.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","BEDLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/60/c3/5f/62/625fc360b4ad8cbf7caff9ff/405-750.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-250","7318304062505","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362b4ad8cbf7caffa00/406-250.I.1.0.jpg","Nova væglampe GU10 hvid","Hvid","Nova væglampe GU10 hvid","Nova væglampe GU10 hvid","Udendørslamper","Nova vägglykta GU10 vit","Vit","Nova vägglykta GU10 vit","Nova vägglykta GU10 vit","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362b4ad8cbf7caffa00/406-250.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-310","7318304063106","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362328f042f10d7a3db/406-310.I.1.0.jpg","Nova væglampe GU10 grå","Grå","Nova væglampe GU10 grå","Nova væglampe GU10 grå","Udendørslamper","Nova vägglykta GU10 grå","Grå","Nova vägglykta GU10 grå","Nova vägglykta GU10 grå","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/62/c3/5f/62/625fc362328f042f10d7a3db/406-310.I.1.0.jpg",,,,,,,,,,,,,,,,,
"406-750","7318304067500","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/63/c3/5f/62/625fc3639b97dfdd099d0317/406-750.I.1.0.jpg","Nova væglampe GU10 sort","Sort","Nova væglampe GU10 sort","Nova væglampe GU10 sort","Udendørslamper","Nova vägglykta GU10 svart","Svart","Nova vägglykta GU10 svart","Nova vägglykta GU10 svart","Utebelysning","Konstsmide",1046,1867.20,2334.00,1,31.00,37.00,34.00,2.60,3.25,330.00,400.00,315.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 50W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/63/c3/5f/62/625fc3639b97dfdd099d0317/406-750.I.1.0.jpg",,,,,,,,,,,,,,,,,
"407-250","7318304072504","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/64/c3/5f/62/625fc364b13d56f91d62d510/407-250.I.1.0.jpg","Pollux væglampe GU10 hvid","Hvid","Pollux væglampe GU10 hvid","Pollux væglampe 2xGU10 hvid/transparent, op og ned","Udendørslamper","Pollux vägglykta GU10 vit","Vit","Pollux vägglykta GU10 vit","Pollux vägglykta 2xGU10 vit/transparent, upp och ned","Utebelysning","Konstsmide",546,975.20,1219.00,6,23.50,11.50,7.50,0.85,1.32,360.00,155.00,130.00,"-",,,"IP44","Excl","LightSource","-","-","-","GU10","230-240V","Max 7W",9405499000,"HU","VÆGLAMPER","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/70/4a/62/62/62624a701e10741545549720/407-250.S.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6a/4a/62/62/62624a6a1e1074154554971f/407-250.B.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/6d/4a/62/62/62624a6da029622018e28e2e/407-250.P.1.0.jpg","https://files.plytix.com/api/v1.1/file/public_files/pim/assets/f0/88/02/62/620288f0739b2fa543734093/images/64/c3/5f/62/625fc364b13d56f91d62d510/407-250.I.1.0.jpg",,,,,,,,,,,,,,
